"word";"frequency"
fifth harmony url;29
friend forever url;29
mention url url;26
#hash #hash url;24
harmos work hard;23
kardashian url url;21
</s> <s> rt;21
mention vote attack;20
rt the replies;20
with the hashtags;20
</s> <s> url;16
url #hash url;15
proved them url;15
<s> #hash url;14
</s> <s> #hash;14
<s> url url;14
mention mention url;12
#hash url url;11
harmony url url;11
all plans https;10
emoji emoji url;10
rather be url;8
now url url;7
emoji #hash url;6
share this emoji;6
mention #hash url;6
emoji mention url;5
<s> me url;5
#hash emoji url;4
</s> <s> emoji;4
#hash mention url;4
rt mention #hash;4
w url url;4
url mention url;4
#hash #hash https;4
the abcs url;3
everything emoji url;3
me emoji url;3
little mix url;3
