"word";"frequency"
url url;195
emoji url;141
#hash url;94
mention url;45
forever url;29
harmony url;29
work hard;23
<s> rt;21
vote attack;20
the replies;20
the hashtags;20
them url;18
<s> url;16
<s> #hash;14
me url;11
#hash https;11
this url;10
plans https;10
#hash #hash;8
smiley url;8
be url;8
this emoji;6
url https;6
lol url;6
mention #hash;5
goals url;4
her url;4
mention https;4
<s> emoji;4
it url;4
true url;3
excited url;3
abcs url;3
philippines url;3
transponder snail;3
night url;3
luck url;3
tweet url;3
vallarta's arcos?;3
